,spotify_song_id,weeks_on_chart,artists,name,peak_position
75,0ESJlaM8CE1jRWaNtwSNj8,55,Travis Scott,beibs in the trap,93
76,0Ev562zA4pmUsBqjxsxxdx,1,Gryffin,Feel Good ,176
77,0F7FlaQBiyNkV8iakTocsW,1,Future,Stick to the Models,173
78,0FZ4Dmg8jJJAPJnvBIzD9z,37,Kodak Black,ZEZE ,1
79,0FfX0nofboxZjP0diT1eFv,1,Imagine Dragons,I’ll Make It Up To You,151
80,0Fpen1PTuEnCmOJtUU9Iud,23,Lil Uzi Vert,New Patek,4
81,0Fv5N0cHBsl4bzCbollCAS,34,Big Sean,Moves,10
82,0G9rmRmQDFk9O2tzZLyRkc,1,Migos,Emoji A Chain,48
83,0GVuLQtPXFaL18ijEOqoAa,3,Michelle Williams,Tightrope,162
84,0Gee5mDV8DiP4YNSQT2gOK,9,Aaron Carter,Sooner Or Later,91
85,0Gl5s8IhMmQE5YQwM8Qx1J,8,Loren Allred,Never Enough,81
86,0Goo25lbtpwor5vb0K2r21,1,Lil Skies,Nowadays Pt. 2,103
87,0H1Had94fszD13qsFsP1U5,1,Lil Peep,Sex with My Ex,74
88,0H8XeaJunhvpBdBFIYi6Sh,17,Post Malone,Deja Vu,108
89,0HEckRWFSknIupbGzavk5d,2,Khalid,Hundred,57
90,0HZk0QsXPhMNAWNDR3rYE8,9,Pentatonix,Hallelujah,135
91,0Hgqglypzt6Qs5Duqskcqs,1,Khalid,Heaven,102
92,0HtOJj7Kl74s1Ngf3MWeif,4,J. Cole,She's Mine Pt. 1,132
93,0IH3D0P8OrQFs6ajcqbm0R,1,ScHoolboy Q,Dangerous ,109
94,0IUgswE9wJaY4QIQZEDTKe,6,Russ,Civil War,142
95,0JP9xo3adEtGSdUEISiszL,67,XXXTENTACION,Moonlight,3
96,0JR7iZZ6Ql79sXW3rbiS3F,1,Future,Ain't Livin Right ,149
97,0JYAsQJWIuaYUvZGF1qapT,1,Quavo,RERUN ,75
98,0KKkJNfGyhkQ5aFogxQAPU,68,Bruno Mars,That's What I Like,3
99,0KsB4TwgATg88aXCMBoO3Y,3,Jax Jones,Breathe,144
100,0MHPgpKYfTVml3qEXspnLQ,7,Smokepurpp,123,109
101,0Me3TlqFkaIzoZzAGU1EDh,1,Logic,Street Dreams II,151
102,0MrRAUcB8AZiB9ue2VOBYe,7,Post Malone,Sugar Wraith,21
103,0N9uZRrJQ3lO5TmInEjLxc,10,Chris Lane,Take Back Home Girl (Feat. Tori Kelly),114
104,0NA5xAtDra50d0Lfs2uvoh,1,Metro Boomin,Borrowed Love ,89
105,0NWqNXBJTpXbkI5rPWNy3p,4,The Weeknd,All I Know,159
106,0Nwar8rweBUyfyuoyjjUvk,4,The Weeknd,Privilege,11
107,0OI7AFifLSoGzpb8bdBLLV,9,"Machine Gun Kelly, Machine Gun Kelly, X Ambassadors, Bebe Rexha, Machine Gun Kelly, X Ambassadors, Bebe Rexha",Home ,60
108,0OUQhRKgGSb0PPrLUuEQka,1,Fall Out Boy,Church,199
109,0OVhQZkNe7lh0fQeH96EFW,1,Bryson Tiller,Don't Get Too High,70
110,0OWZFobGSIW9GrSlQ9C5pc,32,Thomas Rhett,Marry Me,62
111,0OgGn1ofaj55l2PcihQQGV,15,Bryce Vine,Drew Barrymore,49
112,0OlS52TmtK2gPaEtdmr7DN,10,Old Dominion,No Such Thing as a Broken Heart,158
113,0OlnLZY4cmQzT6ZGttvWBM,9,Martin Garrix,So Far Away ,109
114,0Oqc0kKFsQ6MhFOLBNZIGX,1,Lana Del Rey,Doin' Time,104
115,0P6AWOA4LG1XOctzaVu5tt,11,SZA,The Weekend - Funk Wav Remix,98
116,0PDUDa38GO8lMxLCRc4lL1,5,ZAYN,PILLOWTALK,124
117,0PG9fbaaHFHfre2gUVo7AN,18,Cardi B,Please Me,15
118,0PJIbOdMs3bd5AT8liULMQ,7,Jeremih,oui,154
119,0PQoUlzP7ILdcrzpajHXc0,17,YK Osiris,Worth It,71
120,0PXCdhnm9fRgrIgoMcteZa,1,Lorde,Sober,75
121,0PpfPNtQOOvbMNVJijTQj0,2,Pardison Fontaine,Backin' It Up ,184
122,0Px86mRlxdB3YqpK6KXWlr,3,J. Cole,Once an Addict - Interlude,19
123,0QIjsbm2fh1cJ45XO9eGqq,41,Gucci Mane,Wake Up in the Sky,6
124,0QV16pno66L6K3fn4W13b7,2,Lil Uzi Vert,No Sleep Leak,67
125,0QZ5yyl6B6utIWkxeBDxQN,28,Lord Huron,The Night We Met,48
126,0Qd2KYCmwGYiTF3A0opS6b,1,Lil Skies,Real Ties,160
127,0Qh38w01QRXK6KHIv0e3hb,15,P!nk,What About Us,49
128,0R6Jlsq25eZB3Wftpxi3oF,4,Post Malone,Jonestown (Interlude),25
129,0RRm4OS5ymfZryXBuj0G2m,8,City Girls,Twerk ,128
130,0RUTnY2B3s05fZuCHsNaUP,1,Sabrina Carpenter,Alien,193
131,0RoA7ObU6phWpqhlC9zH4Z,8,Ziv Zaifman,A Million Dreams,79
132,0Rx0DJI556Ix5gBny6EWmn,12,Bazzi,Paradise,20
133,0S0vWvyZ6Rc79TXkWxT9QA,5,Lil Peep,Save That Shit,57
134,0SGkqnVQo9KPytSri1H6cF,68,Big Sean,Bounce Back,3
135,0SQ8yalm13UIJuebuZkQlH,1,Offset,Wild Wild West ,106
136,0STK94RxUulYqWzwFlyAb5,4,Demi Lovato,Sober,77
137,0SfG57HqtBNqKN9O27fo1s,1,Lil Pump,Racks on Racks,59
138,0SuLAslEMFZAXf0SwY7syi,23,Jon Bellion,All Time Low,18
139,0T6RSXxFhW8dRTWHI604ld,1,XXXTENTACION,One Minute ,23
140,0TCnOEVeLQMXOUrpPlM7uY,14,Rae Sremmurd,Guatemala - From Swaecation,55
141,0TK2YIli7K1leLovkQiNik,1,Shawn Mendes,Señorita,1
142,0TdKJnJqeONlGZpfI1Wn93,1,Sam Smith,HIM,106
143,0TlLq3lA83rQOYtrqBqSct,52,Drake,Nonstop,1
144,0U06Yqe0nkkJlptlr7O4uO,1,Future,DOH DOH ,200
145,0UFDKFqW2oGspYeYqo9wjA,1,Linkin Park,Bleed It Out,181
146,0UNeNA0dcfUMsGxvLwf2p3,1,Meek Mill,Pay You Back ,119
147,0URaKGzNTtzKRtsJN1RkA9,2,Big Sean,Light,53
148,0Ult84lvFuqNvbyXwyRQ58,19,Clean Bandit,I Miss You ,57
149,0Uv5Kp8sEnriJjkX4oLfNI,3,Paul Rosenberg,Paul - Skit,19
150,0VE4kBnHJUgtMf0dy6DRmW,1,Taylor Swift,Getaway Car,140
151,0VJYhKhrHgJ7fgjGaC2k07,1,XXXTENTACION,The Explanation,89
152,0VgkVdmE4gld66l8iyGjgx,61,Future,Mask Off,2
153,0VhgEqMTNZwYL1ARDLLNCX,5,James Arthur,Can I Be Him,138
