artists_ids,artists_names,made_charts,track_album_name,track_album_release_date,track_art_url,track_id,track_name,track_preview_url,num_faces
"['7Aq8lpLMSt1Zxu56pe9bmp', '2gie1bU1LwnxdFAJoTLjzT', '6nfYGe7IIuuP5bMY1jkJP6']","['Jagged Edge', 'Loon', 'Jermaine Dupri']",0.0,So So Def presents: Definition of a Remix feat. Jermaine Dupri and Jagged Edge (This Is The Remix) (Explicit Version),1997,https://i.scdn.co/image/ab67616d0000b273554b014508e7af72795d0db2,4iIzuqTpvDpo1VTzIyqZuK,Promise (feat. Loon) - Cool JD Remix,https://p.scdn.co/mp3-preview/b99a538629adedb21de4cb0f9cd4e94d4fc63b06?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['6AVLthptCPhfrxlHadOBJD'],['Jill Scott'],0.0,Beautifully Human: Words and Sounds Vol. 2,2004-08-31,https://i.scdn.co/image/ab67616d0000b273b0f1fad7abfc5b059cbe1bbd,58wz6SXvLA7JjKtX5Ydq06,Cross My Mind,,
"['5y2Xq6xcjJb2jVM54GHK3t', '74V3dE1a51skRkdII8y2C6']","['John Legend', 'André 3000']",0.0,Evolver,2008-10-27,https://i.scdn.co/image/ab67616d0000b273c5f30079a5afab8bb97fb077,72by3Re4C3eVEBXvsUo0zV,Green Light (feat. André 3000),https://p.scdn.co/mp3-preview/d6b9152ad2a97200ac0daad287335d09851e05f4?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['0cePXkZbB6Ehoy4EiKLIc1'],['Tapri Grams'],0.0,Onag,2020-10-15,https://i.scdn.co/image/ab67616d0000b273de36376402a52252ce92a907,6xZVanwxtdYl4bqNCeRszj,All or Nothing,https://p.scdn.co/mp3-preview/5d226ce5ed5c4ac2c5e5269bbd4a0c021696aaa7?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],0.0,Yours Truly,2013-01-01,https://i.scdn.co/image/ab67616d0000b273ea28881e9e363244a4a2347b,0CN72fWya38TPEQzrsr27w,Lovin' It,,
"['0A7g2YbCA9FlyZvAG6VmKP', '2NsAJcAM18AExiMWKLKzuH', '4d3yvTptO48nOYTPBcPFZC']","['The LOX', 'Drag-On', 'Eve']",0.0,We Are The Streets,2000-01-01,https://i.scdn.co/image/ab67616d0000b273c3c5d21ac3d06387e01fa695,28TaYSTqNY96c2oyUyAwwg,"Ryde Or Die, B****",,
"['3aQeKQSyrW4qWr35idm0cy', '55Aa2cqylxrFIXC767Z865']","['T-Pain', 'Lil Wayne']",0.0,THR33 RINGZ,2008-11-11,https://i.scdn.co/image/ab67616d0000b273df81cbd7b9f12832e24b469d,3xQCXDHNJXSVxECjTJCHFu,Can't Believe It (feat. Lil' Wayne),https://p.scdn.co/mp3-preview/eb313baae08b2d6c6020f1dfa3b1db5013ee9e13?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
"['7bXgB6jMjp9ATFy66eO08Z', '55Aa2cqylxrFIXC767Z865', '1YfEcTuGvBQ8xSD1f53UnK']","['Chris Brown', 'Lil Wayne', 'Busta Rhymes']",0.0,F.A.M.E. (Expanded Edition),2011-03-22,https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab,3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),https://p.scdn.co/mp3-preview/6f77e5c215d0fdb77d2240fdb17601451b29a550?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3ipn9JLAPI5GUEo4y4jcoi'],['Ludacris'],0.0,The Red Light District,2004-01-01,https://i.scdn.co/image/ab67616d0000b273efbf69c0f1aac9d7e7cb489e,4zXMw51RgLPRE3vPDuqBvt,The Potion,,
['4iHNK0tOyZPYnBU7nGAgpQ'],['Mariah Carey'],0.0,The Emancipation of Mimi,2005-01-01,https://i.scdn.co/image/ab67616d0000b273768bc8d9f078db929dfcfbd1,3LmvfNUQtglbTrydsdIqFU,We Belong Together,,
"['0YWxKQj2Go9CGHCp77UOyy', '21E3waRsmPlU7jZsS13rcj']","['Fabolous', 'Ne-Yo']",0.0,From Nothin' To Somethin' (Bonus Track Version),2007-01-01,https://i.scdn.co/image/ab67616d0000b2730257cdc367bb5b3f41eb949f,0YkJU6TjjwzsVXUPRIO0DB,Make Me Better,,
['6vWDO969PvNqNYHIOW5v0m'],['Beyoncé'],0.0,BEYONCÉ [Platinum Edition],2014-11-24,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,5hgnY0mVcVetszbb85qeDg,Partition,https://p.scdn.co/mp3-preview/8ecd5010e5a46f1c84f42bcfed50505395825d7a?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3TVXtAsR1Inumwj472S9r4'],['Drake'],0.0,Scorpion,2018-06-29,https://i.scdn.co/image/ab67616d0000b273f9a9abe8ed9ffaba55412384,7ijJ5crvsnCvCLJbHpyq3j,Final Fantasy,,
['3fMbdgg4jU18AjLCKBhRSm'],['Michael Jackson'],0.0,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,1997-05-11,https://i.scdn.co/image/ab67616d0000b273983d03d4dee6600fb095a9e6,11lw4bWbmxWIETHitBU0Gc,Blood on the Dance Floor,https://p.scdn.co/mp3-preview/109806f836f29b617b1373cb1e76489baa045508?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
['3AQRLZ9PuTAozP28Skbq8V'],['The Script'],0.0,The Script,2008-07-14,https://i.scdn.co/image/ab67616d0000b273dde86e2f18dc87260491d0d1,1fyysXwSGNtMeqMBLwW3SI,Breakeven,https://p.scdn.co/mp3-preview/dd04f29a1c04ba85a2c56d5f1290292240726bf9?cid=7f921ccd390e4fd7ba204c6bf3254ebb,
